Date,Close
1985/1/1,278.700012
1985/2/1,284.200012
1985/3/1,279.200012
1985/4/1,280.600006
1985/5/1,290.799988
1985/6/1,296.200012
1985/7/1,301.299988
1985/8/1,297.700012
1985/9/1,280.299988
1985/10/1,292.5
1985/11/1,314
1985/12/1,324.899994
1986/1/1,335.799988
1986/2/1,359.5
1986/3/1,374.700012
1986/4/1,383.200012
1986/5/1,400.200012
1986/6/1,405.5
1986/7/1,371.399994
1986/8/1,382.899994
1986/9/1,350.700012
1986/10/1,360.799988
1986/11/1,359.600006
1986/12/1,348.799988
1987/1/1,392.100006
1987/2/1,425
1987/3/1,430.100006
1987/4/1,417.799988
1987/5/1,416.5
1987/6/1,424.700012
1987/7/1,434.899994
1987/8/1,455
1987/9/1,444.299988
1987/10/1,323.299988
1987/11/1,305.200012
1987/12/1,330.5
1988/1/1,344.700012
1988/2/1,367
1988/3/1,374.600006
1988/4/1,379.200012
1988/5/1,370.299988
1988/6/1,394.700012
1988/7/1,387.299988
1988/8/1,376.600006
1988/9/1,387.700012
1988/10/1,382.5
1988/11/1,371.5
1988/12/1,381.399994
1989/1/1,401.299988
1989/2/1,399.700012
1989/3/1,406.700012
1989/4/1,427.600006
1989/5/1,446.200012
1989/6/1,435.299988
1989/7/1,453.799988
1989/8/1,469.299988
1989/9/1,472.899994
1989/10/1,455.600006
1989/11/1,456.100006
1989/12/1,454.799988
1990/1/1,415.799988
1990/2/1,425.799988
1990/3/1,435.5
1990/4/1,420.100006
1990/5/1,459
1990/6/1,462.299988
1990/7/1,438.200012
1990/8/1,381.200012
1990/9/1,344.5
1990/10/1,329.799988
1990/11/1,359.100006
1990/12/1,373.799988
1991/1/1,414.200012
1991/2/1,453.100006
1991/3/1,482.299988
1991/4/1,484.720001
1991/5/1,506.109985
1991/6/1,475.920013
1991/7/1,502.040009
1991/8/1,525.679993
1991/9/1,526.880005
1991/10/1,542.97998
1991/11/1,523.900024
1991/12/1,586.340027
1992/1/1,620.210022
1992/2/1,633.469971
